T,motor,stretch
1718138,sition: 0 ,-0.25
1718188,sition: 0 ,-0.50
1718238,sition: 0 ,-2.50
1718300,sition: 0 ,-4.24
1718350,sition: 0 ,-4.74
1718400,sition: 0 ,-4.25
1718461,sition: 0 ,-2.75
1718511,sition: 0 ,-2.00
1718561,sition: 0 ,-1.00
1718623,sition: 0 ,-0.50
1718673,sition: 0 ,-0.25
1718723,sition: 0 ,-0.25
1718783,sition: 0 ,-0.25
1718833,sition: 0 ,0.00
1718902,sition: 0 ,-0.25
1718952,sition: 0 ,0.00
1719015,sition: 0 ,-0.25
1719065,sition: 0 ,-0.25
1719116,sition: 0 ,-0.25
1719177,sition: 0 ,-0.25
1719227,sition: 0 ,-1.00
1719277,sition: 0 ,-3.00
1719338,sition: 0 ,-4.75
1719388,sition: 0 ,-4.50
1719438,sition: 0 ,-4.00
1719499,sition: 0 ,-2.50
1719549,sition: 0 ,-1.50
1719599,sition: 0 ,-0.75
1719660,sition: 0 ,-0.25
1719710,sition: 0 ,-0.25
1719760,sition: 0 ,0.00
1719817,sition: 0 ,-0.25
1719867,sition: 0 ,0.00
1719935,sition: 0 ,0.01
1719985,sition: 0 ,-0.25
1720054,sition: 0 ,-0.25
1720104,sition: 0 ,-0.25
1720154,sition: 0 ,-0.25
1720210,sition: 0 ,0.00
1720260,sition: 0 ,-0.25
1720310,sition: 0 ,-0.50
1720369,sition: 0 ,-3.50
1720419,sition: 0 ,-4.50
1720469,sition: 0 ,-4.74
1720532,sition: 0 ,-4.25
1720582,sition: 0 ,-3.00
1720632,sition: 0 ,-2.50
1720693,sition: 0 ,-0.50
1720743,sition: 0 ,-0.50
1720811,sition: 0 ,-0.50
1720861,sition: 0 ,-0.25
1720930,sition: 0 ,-0.25
1720980,sition: 0 ,-0.25
1721030,sition: 0 ,-0.25
1721091,sition: 0 ,-0.25
1721141,sition: 0 ,-0.25
1721191,sition: 0 ,-0.25
1721251,sition: 0 ,-0.25
1721301,sition: 0 ,-0.25
1721351,sition: 0 ,-0.50
1721411,sition: 0 ,-0.50
1721461,sition: 0 ,-2.75
1721511,sition: 0 ,-4.24
1721574,sition: 0 ,-4.74
1721624,sition: 0 ,-3.99
1721674,sition: 0 ,-3.25
1721735,sition: 0 ,-1.25
1721785,sition: 0 ,-0.75
1721835,sition: 0 ,-0.50
1721896,sition: 0 ,-0.25
1721946,sition: 0 ,-0.25
1721996,sition: 4 ,-0.25
1722052,sition: 4 ,0.00
1722102,sition: 4 ,0.01
1722171,sition: 4 ,0.01
1722221,sition: 8 ,0.01
1722286,sition: 8 ,0.76
1722336,sition: 8 ,0.75
1722405,sition: 8 ,1.01
1722455,sition: 12 ,1.00
1722520,sition: 12 ,1.26
1722570,sition: 12 ,1.00
1722620,sition: 12 ,-0.75
1722680,sition: 12 ,-2.25
1722730,sition: 16 ,-2.25
1722780,sition: 16 ,-1.75
1722839,sition: 16 ,0.74
1722889,sition: 16 ,1.50
1722939,sition: 16 ,2.25
1722996,sition: 20 ,2.50
1723046,sition: 20 ,2.50
1723096,sition: 20 ,2.50
1723152,sition: 20 ,2.50
1723202,sition: 20 ,2.50
1723252,sition: 24 ,2.50
1723308,sition: 24 ,2.50
1723358,sition: 24 ,2.50
1723408,sition: 24 ,2.50
1723465,sition: 24 ,2.50
1723515,sition: 28 ,2.50
1723565,sition: 28 ,2.50
