T,motor,stretch
2882814,sition: 0 ,0.00
2882882,sition: 0 ,-0.25
2882932,sition: 0 ,0.00
2882988,sition: 0 ,0.00
2883038,sition: 0 ,0.00
2883099,sition: 0 ,0.25
2883149,sition: 0 ,-2.23
2883199,sition: 0 ,-3.72
2883256,sition: 0 ,-5.45
2883306,sition: 0 ,-4.21
2883356,sition: 0 ,-2.73
2883413,sition: 0 ,-0.74
2883464,sition: 0 ,-0.25
2883528,sition: 0 ,0.00
2883578,sition: 0 ,0.00
2883636,sition: 0 ,0.00
2883686,sition: 0 ,0.00
2883749,sition: 1 ,0.00
2883799,sition: 1 ,0.00
2883861,sition: 1 ,-1.49
2883911,sition: 2 ,-4.21
2883980,sition: 2 ,-5.20
2884030,sition: 2 ,-4.71
2884097,sition: 2 ,-1.49
2884147,sition: 3 ,-0.25
2884212,sition: 3 ,0.25
2884262,sition: 3 ,0.00
2884321,sition: 4 ,0.00
2884371,sition: 4 ,0.00
2884433,sition: 4 ,0.25
2884483,sition: 4 ,0.25
2884548,sition: 5 ,0.00
2884598,sition: 5 ,-2.23
2884664,sition: 5 ,-5.45
2884714,sition: 6 ,-4.95
2884764,sition: 6 ,-4.21
2884821,sition: 6 ,-1.24
2884871,sition: 6 ,-0.25
2884936,sition: 7 ,0.00
2884986,sition: 7 ,0.00
2885048,sition: 7 ,0.25
2885098,sition: 7 ,0.25
2885165,sition: 8 ,0.25
2885215,sition: 8 ,0.25
2885276,sition: 8 ,0.00
2885326,sition: 9 ,-2.73
2885393,sition: 9 ,-5.45
2885443,sition: 9 ,-5.20
2885493,sition: 9 ,-3.96
2885552,sition: 10 ,-0.99
2885602,sition: 10 ,-0.25
2885668,sition: 10 ,0.25
2885718,sition: 10 ,0.25
2885782,sition: 11 ,0.25
2885832,sition: 11 ,0.25
2885892,sition: 11 ,0.25
2885942,sition: 11 ,0.25
2886011,sition: 12 ,-0.25
2886061,sition: 12 ,-3.47
2886126,sition: 12 ,-5.45
2886176,sition: 13 ,-4.46
2886242,sition: 13 ,-2.23
2886292,sition: 13 ,-0.75
2886357,sition: 14 ,0.00
2886407,sition: 14 ,0.00
2886469,sition: 14 ,0.25
2886519,sition: 14 ,0.25
2886588,sition: 15 ,0.25
2886638,sition: 15 ,0.25
2886702,sition: 15 ,0.25
2886752,sition: 15 ,-1.49
2886802,sition: 16 ,-2.97
2886859,sition: 16 ,-5.45
2886909,sition: 16 ,-4.71
2886976,sition: 17 ,-2.23
2887026,sition: 17 ,-0.75
2887090,sition: 17 ,0.00
2887140,sition: 17 ,0.00
2887202,sition: 18 ,0.25
2887252,sition: 18 ,0.25
2887316,sition: 18 ,0.25
2887366,sition: 18 ,0.25
2887434,sition: 19 ,0.25
2887484,sition: 19 ,-1.98
2887551,sition: 19 ,-4.95
2887601,sition: 20 ,-4.95
2887651,sition: 20 ,-3.96
2887710,sition: 20 ,-0.99
2887760,sition: 20 ,0.00
2887826,sition: 21 ,0.50
2887876,sition: 21 ,0.50
2887940,sition: 21 ,0.74
2887990,sition: 21 ,0.74
2888057,sition: 22 ,0.99
2888107,sition: 22 ,0.99
2888170,sition: 22 ,0.99
2888220,sition: 23 ,-1.24
2888290,sition: 23 ,-3.96
2888340,sition: 23 ,-3.72
2888406,sition: 23 ,-1.24
2888457,sition: 24 ,-0.00
2888521,sition: 24 ,1.24
2888571,sition: 24 ,1.24
2888638,sition: 25 ,1.49
2888688,sition: 25 ,1.49
2888753,sition: 25 ,1.73
2888803,sition: 25 ,1.73
2888871,sition: 26 ,1.98
2888921,sition: 26 ,2.23
2888987,sition: 26 ,-2.23
2889037,sition: 27 ,-2.97
2889106,sition: 27 ,-1.00
2889156,sition: 27 ,-0.50
2889218,sition: 27 ,1.73
2889268,sition: 28 ,1.98
2889334,sition: 28 ,2.23
2889384,sition: 28 ,2.47
