T,motor,stretch
411742,sition: 0 ,0.00
411792,sition: 0 ,0.00
411842,sition: 0 ,0.00
411892,sition: 0 ,0.00
411942,sition: 0 ,0.00
411992,sition: 0 ,0.00
412042,sition: 0 ,0.00
412092,sition: 0 ,0.00
412142,sition: 0 ,0.00
412192,sition: 0 ,0.00
412242,sition: 0 ,0.00
412292,sition: 0 ,0.00
412342,sition: 0 ,0.00
412392,sition: 0 ,0.00
412442,sition: 0 ,0.00
412492,sition: 0 ,0.00
412542,sition: 0 ,0.00
412592,sition: 0 ,0.00
412642,sition: 0 ,0.00
412692,sition: 0 ,0.00
412742,sition: 0 ,0.00
412792,sition: 0 ,0.00
412842,sition: 0 ,0.00
412892,sition: 0 ,0.00
412942,sition: 0 ,0.00
412992,sition: 0 ,0.00
413042,sition: 0 ,0.00
413092,sition: 0 ,0.00
413142,sition: 0 ,0.00
413193,sition: 0 ,0.00
413243,sition: 0 ,0.00
413293,sition: 0 ,0.00
413343,sition: 0 ,0.00
413393,sition: 0 ,0.00
413443,sition: 0 ,0.00
413493,sition: 0 ,0.00
413543,sition: 0 ,0.00
413593,sition: 0 ,0.00
413643,sition: 0 ,0.00
413693,sition: 0 ,0.00
413743,sition: 0 ,0.00
413793,sition: 0 ,0.00
413843,sition: 0 ,0.00
413893,sition: 0 ,0.00
413943,sition: 0 ,0.00
413993,sition: 0 ,0.00
414043,sition: 0 ,0.00
414093,sition: 0 ,0.00
414143,sition: 0 ,0.00
414193,sition: 0 ,0.00
414243,sition: 0 ,0.00
414293,sition: 0 ,0.00
414343,sition: 0 ,0.00
414393,sition: 0 ,0.00
414443,sition: 1 ,0.00
414493,sition: 1 ,0.00
414543,sition: 2 ,0.00
414593,sition: 2 ,0.00
414643,sition: 2 ,0.00
414693,sition: 3 ,0.00
414743,sition: 3 ,0.00
414793,sition: 3 ,0.00
414843,sition: 4 ,0.00
414893,sition: 4 ,0.00
414943,sition: 5 ,0.00
414993,sition: 5 ,0.00
415043,sition: 5 ,0.00
415094,sition: 6 ,0.00
415144,sition: 6 ,0.00
415194,sition: 6 ,0.00
415244,sition: 7 ,0.00
415294,sition: 7 ,0.00
415344,sition: 8 ,0.00
415394,sition: 8 ,0.00
415444,sition: 8 ,0.00
415494,sition: 9 ,0.00
415544,sition: 9 ,0.00
415594,sition: 9 ,0.00
415644,sition: 10 ,0.00
415694,sition: 10 ,0.00
415744,sition: 11 ,0.00
415794,sition: 11 ,0.00
415844,sition: 11 ,0.00
415894,sition: 12 ,0.00
415944,sition: 12 ,0.00
415994,sition: 12 ,0.00
416044,sition: 13 ,0.00
416094,sition: 13 ,0.00
416144,sition: 14 ,0.00
416194,sition: 14 ,0.00
416244,sition: 14 ,0.00
416294,sition: 15 ,0.00
416344,sition: 15 ,0.00
416394,sition: 15 ,0.00
416444,sition: 16 ,0.00
416494,sition: 16 ,0.00
416544,sition: 17 ,0.00
416594,sition: 17 ,0.00
416644,sition: 17 ,0.00
416694,sition: 18 ,0.00
416744,sition: 18 ,0.00
416794,sition: 18 ,0.00
416844,sition: 19 ,0.00
416894,sition: 19 ,0.00
416945,sition: 20 ,0.00
416995,sition: 20 ,0.00
417045,sition: 20 ,0.00
417095,sition: 21 ,0.00
417145,sition: 21 ,0.00
417195,sition: 21 ,0.00
417245,sition: 22 ,0.00
417295,sition: 22 ,0.00
417345,sition: 23 ,0.00
417395,sition: 23 ,0.00
417445,sition: 23 ,0.00
417495,sition: 24 ,0.00
417545,sition: 24 ,0.00
417595,sition: 24 ,0.00
417645,sition: 25 ,0.00
417695,sition: 25 ,0.00
417745,sition: 26 ,0.00
417795,sition: 26 ,0.00
417845,sition: 26 ,0.00
417895,sition: 27 ,0.00
417945,sition: 27 ,0.00
417995,sition: 27 ,0.00
418045,sition: 28 ,0.00
418095,sition: 28 ,0.00
418145,sition: 29 ,0.00
418195,sition: 29 ,0.00
418245,sition: 29 ,0.00
418295,sition: 30 ,0.00
418345,sition: 30 ,0.00
418395,sition: 30 ,0.00
418445,sition: 31 ,0.00
418495,sition: 31 ,0.00
418545,sition: 32 ,0.00
418595,sition: 32 ,0.00
418645,sition: 32 ,0.00
418695,sition: 33 ,0.00
418745,sition: 33 ,0.00
418796,sition: 33 ,0.00
418846,sition: 34 ,0.00
418896,sition: 34 ,0.00
418946,sition: 35 ,0.00
418996,sition: 35 ,0.00
419046,sition: 35 ,0.00
419096,sition: 36 ,0.00
419146,sition: 36 ,0.00
419196,sition: 36 ,0.00
419246,sition: 37 ,0.00
419296,sition: 37 ,0.00
419346,sition: 38 ,0.00
419396,sition: 38 ,0.00
419446,sition: 38 ,0.00
419496,sition: 39 ,0.00
419546,sition: 39 ,0.00
419596,sition: 39 ,0.00
419646,sition: 40 ,0.00
419696,sition: 40 ,0.00
419746,sition: 41 ,0.00
419796,sition: 41 ,0.00
419846,sition: 41 ,0.00
419896,sition: 42 ,0.00
419946,sition: 42 ,0.00
419996,sition: 42 ,0.00
420046,sition: 43 ,0.00
420096,sition: 43 ,0.00
420146,sition: 44 ,0.00
420196,sition: 44 ,0.00
420246,sition: 44 ,0.00
420296,sition: 45 ,0.00
420346,sition: 45 ,0.00
420396,sition: 45 ,0.00
420446,sition: 46 ,0.00
420496,sition: 46 ,0.00
420546,sition: 47 ,0.00
420596,sition: 47 ,0.00
420646,sition: 47 ,0.00
420697,sition: 48 ,0.00
420747,sition: 48 ,0.00
420797,sition: 48 ,0.00
420847,sition: 49 ,0.00
420897,sition: 49 ,0.00
420947,sition: 50 ,0.00
420997,sition: 50 ,0.00
421047,sition: 50 ,0.00
421097,sition: 51 ,0.00
421147,sition: 51 ,0.00
421197,sition: 51 ,0.00
