T,motor,stretch
1326008,sition: 0 ,0.59
1326058,sition: 0 ,0.59
1326108,sition: 0 ,0.59
1326158,sition: 0 ,0.59
1326208,sition: 0 ,0.59
1326258,sition: 0 ,0.59
1326308,sition: 0 ,0.59
1326358,sition: 0 ,0.59
1326408,sition: 0 ,0.59
1326458,sition: 0 ,0.59
1326508,sition: 0 ,0.59
1326558,sition: 0 ,0.59
1326608,sition: 0 ,0.59
1326658,sition: 0 ,0.59
1326708,sition: 0 ,0.88
1326758,sition: 0 ,0.59
1326808,sition: 0 ,0.59
1326858,sition: 0 ,0.59
1326908,sition: 0 ,0.59
1326958,sition: 0 ,0.59
1327008,sition: 0 ,-2.67
1327058,sition: 0 ,-5.62
1327108,sition: 0 ,-6.81
1327158,sition: 0 ,-6.81
1327208,sition: 0 ,-6.81
1327258,sition: 0 ,-4.14
1327308,sition: 0 ,-2.67
1327358,sition: 0 ,-1.48
1327408,sition: 0 ,-0.29
1327458,sition: 0 ,0.29
1327509,sition: 0 ,0.29
1327559,sition: 0 ,0.59
1327609,sition: 0 ,0.59
1327659,sition: 0 ,0.59
1327709,sition: 0 ,0.59
1327759,sition: 0 ,0.59
1327809,sition: 0 ,0.59
1327859,sition: 0 ,0.59
1327909,sition: 0 ,0.59
1327959,sition: 0 ,0.59
1328009,sition: 0 ,0.59
1328059,sition: 0 ,0.59
1328109,sition: 0 ,0.59
1328159,sition: 0 ,0.59
1328209,sition: 0 ,0.59
1328359,sition: 0 ,0.59
1328409,sition: 0 ,0.59
1328459,sition: 0 ,0.59
1328509,sition: 0 ,0.59
1328559,sition: 0 ,0.59
1328609,sition: 0 ,0.88
1328659,sition: 0 ,0.59
1328709,sition: 0 ,0.59
1328759,sition: 0 ,0.59
1328809,sition: 0 ,0.59
1328859,sition: 0 ,0.59
1328909,sition: 0 ,0.59
1328959,sition: 0 ,0.59
1329009,sition: 0 ,0.59
1329059,sition: 0 ,0.59
1329109,sition: 0 ,0.59
1329160,sition: 0 ,0.59
1329210,sition: 0 ,0.59
1329260,sition: 0 ,0.59
1329310,sition: 0 ,0.59
1329360,sition: 0 ,0.59
1329411,sition: 0 ,0.59
1329461,sition: 0 ,0.59
1329511,sition: 0 ,0.88
1329561,sition: 0 ,0.59
1329611,sition: 0 ,0.88
1329661,sition: 0 ,0.59
1329711,sition: 0 ,0.59
1329761,sition: 0 ,0.59
1329811,sition: 0 ,0.59
1329861,sition: 0 ,0.59
1329911,sition: 0 ,0.59
1329961,sition: 0 ,0.59
1330011,sition: 0 ,0.59
1330061,sition: 0 ,0.59
1330111,sition: 0 ,0.59
1330161,sition: 0 ,0.59
1330211,sition: 0 ,0.88
1330261,sition: 0 ,-3.26
1330311,sition: 0 ,-5.92
1330361,sition: 0 ,-6.51
1330411,sition: 0 ,-6.51
1330461,sition: 0 ,-6.51
1330511,sition: 0 ,-6.51
1330561,sition: 0 ,-6.51
1330611,sition: 0 ,-6.51
1330661,sition: 0 ,-6.51
1330711,sition: 0 ,-6.51
1330761,sition: 0 ,0.59
1330811,sition: 0 ,0.59
1330861,sition: 0 ,0.59
1330911,sition: 0 ,0.59
1330961,sition: 0 ,0.59
1331011,sition: 0 ,0.59
1331061,sition: 0 ,0.59
1331111,sition: 0 ,0.59
1331161,sition: 0 ,0.59
1331211,sition: 0 ,0.59
1331261,sition: 0 ,0.59
1331311,sition: 0 ,0.59
1331362,sition: 0 ,0.59
1331412,sition: 0 ,0.59
1331462,sition: 0 ,0.59
1331512,sition: 0 ,0.59
1331562,sition: 0 ,0.59
1331612,sition: 0 ,0.59
1331662,sition: 0 ,0.59
1331712,sition: 0 ,0.59
1331762,sition: 0 ,0.59
1331812,sition: 0 ,0.59
1331862,sition: 0 ,0.59
1331912,sition: 0 ,0.59
1331962,sition: 0 ,0.59
1332012,sition: 0 ,0.59
1332062,sition: 0 ,0.88
1332112,sition: 0 ,0.59
1332162,sition: 0 ,0.59
1332212,sition: 0 ,0.88
1332262,sition: 0 ,0.59
1332312,sition: 0 ,0.59
1332362,sition: 0 ,0.59
1332412,sition: 0 ,0.59
1332462,sition: 0 ,0.88
1332512,sition: 0 ,0.59
1332562,sition: 0 ,0.59
1332613,sition: 0 ,0.59
1332663,sition: 0 ,0.59
1332713,sition: 0 ,0.59
1332763,sition: 0 ,0.59
1332813,sition: 0 ,0.59
1332863,sition: 0 ,0.59
1332913,sition: 0 ,0.59
1332963,sition: 0 ,0.88
1333013,sition: 0 ,0.59
1333063,sition: 0 ,0.59
1333113,sition: 0 ,0.88
1333163,sition: 0 ,0.59
1333213,sition: 0 ,0.88
1333263,sition: 0 ,0.59
1333314,sition: 0 ,0.88
1333364,sition: 0 ,0.88
1333414,sition: 0 ,0.59
1333464,sition: 0 ,-2.37
1333514,sition: 0 ,-5.33
1333564,sition: 0 ,-6.51
1333614,sition: 0 ,-6.51
1333664,sition: 0 ,-5.92
1333714,sition: 0 ,-5.33
1333764,sition: 0 ,-2.96
1333814,sition: 0 ,-2.96
1333864,sition: 0 ,-2.96
1333914,sition: 0 ,-2.96
1333964,sition: 0 ,-2.96
1334014,sition: 0 ,-2.96
1334065,sition: 0 ,0.59
1334115,sition: 0 ,0.59
1334165,sition: 0 ,0.59
1334215,sition: 0 ,0.59
1334265,sition: 0 ,0.59
1334315,sition: 0 ,0.59
1334365,sition: 0 ,0.59
1334415,sition: 0 ,0.59
1334465,sition: 0 ,0.59
1334515,sition: 0 ,0.59
1334565,sition: 0 ,0.59
1334615,sition: 0 ,0.59
1334665,sition: 0 ,0.59
1334715,sition: 0 ,0.59
1334765,sition: 0 ,0.59
1334815,sition: 0 ,0.59
1334865,sition: 0 ,0.59
1334915,sition: 0 ,0.59
1334965,sition: 0 ,0.59
1335015,sition: 0 ,0.59
1335066,sition: 1 ,0.59
1335116,sition: 2 ,0.59
1335166,sition: 2 ,0.59
1335216,sition: 3 ,0.88
1335266,sition: 4 ,1.18
1335316,sition: 4 ,1.18
1335366,sition: 5 ,1.18
1335416,sition: 5 ,1.18
1335466,sition: 6 ,1.18
1335516,sition: 7 ,1.18
1335566,sition: 7 ,1.47
1335616,sition: 8 ,1.47
1335666,sition: 9 ,1.47
1335716,sition: 9 ,1.77
1335766,sition: 10 ,1.77
1335816,sition: 10 ,2.06
1335866,sition: 11 ,2.36
1335916,sition: 12 ,2.36
1335966,sition: 12 ,2.65
1336016,sition: 13 ,2.65
1336066,sition: 14 ,2.65
1336116,sition: 14 ,2.65
1336167,sition: 15 ,2.94
1336217,sition: 15 ,3.23
1336267,sition: 16 ,3.23
1336317,sition: 17 ,3.23
1336367,sition: 17 ,3.23
1336417,sition: 18 ,3.23
1336467,sition: 19 ,3.83
1336517,sition: 19 ,4.12
1336567,sition: 20 ,4.12
1336617,sition: 20 ,4.12
1336667,sition: 21 ,-0.32
1336717,sition: 22 ,-0.32
1336767,sition: 22 ,-2.98
1336817,sition: 23 ,-2.39
1336867,sition: 24 ,-1.20
1336918,sition: 24 ,-0.32
1336968,sition: 25 ,2.34
1337018,sition: 25 ,3.52
1337068,sition: 26 ,4.41
1337118,sition: 27 ,5.29
1337168,sition: 27 ,5.59
1337219,sition: 28 ,5.59
1337269,sition: 29 ,5.59
1337319,sition: 29 ,5.88
1337369,sition: 30 ,6.77
1337419,sition: 30 ,7.36
1337469,sition: 31 ,7.36
1337519,sition: 32 ,7.36
1337569,sition: 32 ,7.35
1337619,sition: 33 ,8.53
1337669,sition: 34 ,8.53
1337719,sition: 34 ,8.53
1337769,sition: 35 ,9.41
1337819,sition: 36 ,9.41
1337869,sition: 36 ,9.41
1337919,sition: 37 ,9.41
1337969,sition: 37 ,9.41
1338019,sition: 38 ,9.70
1338069,sition: 39 ,10.29
1338119,sition: 39 ,10.29
1338169,sition: 40 ,10.59
1338219,sition: 41 ,10.59
1338269,sition: 41 ,10.59
1338319,sition: 42 ,11.17
1338369,sition: 42 ,11.17
1338419,sition: 43 ,11.17
1338469,sition: 44 ,11.17
1338521,sition: 44 ,11.76
1338571,sition: 45 ,11.76
1338621,sition: 46 ,11.76
1338671,sition: 46 ,11.76
1338721,sition: 47 ,11.76
1338771,sition: 47 ,11.76
1338821,sition: 48 ,11.76
1338871,sition: 49 ,11.76
1338921,sition: 49 ,11.76
1338971,sition: 50 ,12.65
1339021,sition: 51 ,12.65
1339071,sition: 51 ,12.94
1339121,sition: 52 ,13.23
1339171,sition: 52 ,13.23
1339221,sition: 53 ,12.35
1339271,sition: 54 ,8.52
1339321,sition: 54 ,7.63
1339371,sition: 55 ,7.63
1339421,sition: 56 ,7.63
1339471,sition: 56 ,7.63
1339521,sition: 57 ,7.63
1339571,sition: 57 ,11.76
1339621,sition: 58 ,12.35
1339671,sition: 59 ,12.94
1339721,sition: 59 ,13.82
1339771,sition: 60 ,14.12
1339821,sition: 61 ,14.41
1339871,sition: 61 ,14.12
1339921,sition: 62 ,14.41
1339971,sition: 62 ,14.71
1340021,sition: 63 ,14.71
1340072,sition: 64 ,15.00
1340122,sition: 64 ,15.00
1340172,sition: 65 ,15.00
1340222,sition: 66 ,15.30
1340272,sition: 66 ,15.30
1340322,sition: 67 ,15.30
1340372,sition: 67 ,15.30
1340422,sition: 68 ,15.30
1340472,sition: 69 ,15.30
