T,motor,stretch
176899,sition: 0 ,0.00
176949,sition: 0 ,0.00
176999,sition: 0 ,0.00
177049,sition: 0 ,0.00
177100,sition: 0 ,0.00
177150,sition: 0 ,0.00
177200,sition: 0 ,0.00
177250,sition: 0 ,0.00
177300,sition: 0 ,0.00
177350,sition: 0 ,0.00
177400,sition: 0 ,0.00
177450,sition: 0 ,0.00
177500,sition: 0 ,0.00
177550,sition: 0 ,0.00
177600,sition: 0 ,0.00
177650,sition: 0 ,0.00
177700,sition: 0 ,0.00
177750,sition: 0 ,0.00
177800,sition: 0 ,0.00
177850,sition: 0 ,0.00
177900,sition: 0 ,0.00
177950,sition: 0 ,0.00
178000,sition: 0 ,0.00
178050,sition: 0 ,0.00
178101,sition: 0 ,0.00
178151,sition: 0 ,0.00
178201,sition: 0 ,0.00
178251,sition: 0 ,0.00
178301,sition: 0 ,0.00
178351,sition: 0 ,0.00
178401,sition: 0 ,0.00
178451,sition: 0 ,0.00
178501,sition: 0 ,0.00
178551,sition: 0 ,0.00
178601,sition: 0 ,0.00
178651,sition: 0 ,0.00
178701,sition: 0 ,0.00
178751,sition: 0 ,0.00
