T,motor,stretch
9230317,33 ,18.36
9230367,26 ,17.54
9230417,17 ,17.54
9230467,0 ,8.50
9230534,0 ,2.74
9230584,0 ,2.19
9230634,0 ,1.92
9230703,2 ,1.92
9230753,5 ,1.64
9230803,9 ,1.37
9230853,13 ,1.64
9230917,17 ,3.02
9230967,20 ,4.39
9231017,24 ,5.48
9231085,29 ,9.87
9231135,40 ,11.24
9231185,40 ,15.90
9231235,40 ,15.90
9231285,37 ,18.36
9231351,29 ,16.99
9231401,21 ,16.99
9231452,4 ,9.87
9231502,0 ,5.76
9231569,0 ,2.19
9231619,0 ,2.19
9231669,0 ,2.19
9231719,4 ,1.92
9231783,8 ,1.64
9231833,11 ,1.92
9231883,15 ,2.47
9231933,19 ,3.29
9231999,23 ,6.30
9232049,26 ,8.77
9232099,40 ,10.14
9232169,40 ,18.36
9232220,40 ,18.36
9232270,40 ,18.36
9232320,33 ,18.36
9232370,25 ,18.08
9232434,17 ,11.51
9232485,0 ,8.22
9232535,0 ,3.01
9232585,0 ,2.19
9232652,0 ,2.19
9232702,1 ,1.92
9232752,5 ,1.64
9232802,9 ,1.37
9232865,13 ,1.92
9232915,16 ,2.74
9232965,20 ,3.84
9233015,24 ,5.21
9233081,28 ,9.59
9233131,40 ,10.96
9233181,40 ,12.61
9233231,40 ,18.08
9233281,40 ,18.36
9233348,32 ,18.36
9233398,24 ,15.35
9233448,14 ,11.51
9233498,0 ,7.95
9233564,0 ,2.19
9233614,0 ,2.19
9233664,0 ,2.19
9233715,3 ,1.92
9233778,7 ,1.64
9233828,10 ,1.92
9233878,14 ,2.19
9233928,17 ,3.01
9233995,22 ,5.76
9234045,25 ,8.22
9234095,29 ,9.87
9234145,40 ,11.24
9234216,40 ,18.36
9234266,40 ,18.36
9234316,37 ,18.36
9234366,29 ,18.36
9234416,21 ,17.26
9234482,1 ,10.96
9234532,0 ,2.74
9234582,0 ,2.47
9234632,0 ,2.19
9234697,1 ,1.92
9234748,4 ,1.92
9234798,8 ,1.64
9234848,12 ,1.92
9234912,16 ,3.29
9234962,19 ,4.39
9235012,23 ,6.03
9235062,26 ,7.95
9235131,40 ,11.51
9235181,40 ,11.51
9235231,40 ,11.51
9235281,40 ,18.36
9235347,33 ,18.36
9235397,26 ,16.17
9235447,18 ,12.61
9235497,0 ,9.59
9235567,0 ,2.47
9235617,0 ,2.19
9235667,0 ,2.19
9235717,2 ,2.19
9235782,7 ,1.64
9235833,10 ,1.64
9235883,14 ,2.19
9235933,18 ,3.01
9235995,22 ,5.21
9236045,25 ,7.95
9236095,29 ,9.87
9236145,40 ,11.24
9236211,40 ,12.61
9236261,40 ,18.63
9236311,37 ,18.63
9236361,29 ,18.63
9236411,20 ,17.26
9236478,6 ,7.95
9236528,0 ,3.29
9236578,0 ,2.47
9236629,0 ,2.19
9236695,0 ,2.19
9236745,3 ,1.92
9236795,7 ,1.64
9236864,12 ,2.19
9236914,15 ,3.01
9236964,19 ,4.39
9237014,22 ,5.48
9237082,27 ,9.59
9237132,40 ,10.96
9237182,40 ,13.43
9237232,40 ,13.43
9237301,39 ,18.63
9237351,31 ,18.63
9237401,24 ,16.72
9237451,14 ,13.15
9237520,0 ,10.14
9237570,0 ,2.47
9237620,0 ,2.47
9237670,0 ,2.19
9237735,3 ,1.92
9237785,6 ,1.92
9237835,10 ,1.64
9237885,14 ,2.19
9237950,18 ,3.56
9238000,21 ,5.48
9238050,25 ,7.67
9238100,30 ,9.04
9238167,40 ,12.06
9238217,40 ,16.44
9238267,40 ,18.63
9238317,36 ,18.63
9238367,27 ,18.36
9238433,19 ,11.51
9238483,0 ,8.77
9238533,0 ,3.56
9238583,0 ,2.47
9238649,0 ,2.19
9238699,1 ,2.19
9238749,4 ,1.92
9238799,8 ,1.64
9238863,12 ,2.19
9238913,16 ,2.19
9238963,19 ,4.11
9239031,24 ,4.11
9239081,27 ,4.11
9239131,39 ,11.24
9239181,40 ,12.88
9239251,40 ,18.63
9239301,38 ,18.63
9239351,31 ,18.63
9239401,23 ,16.72
9239451,13 ,16.72
9239517,0 ,5.48
9239567,0 ,2.74
9239617,0 ,2.47
9239667,0 ,2.19
9239732,3 ,1.92
9239782,6 ,1.92
9239832,10 ,1.92
9239882,14 ,2.19
9239947,18 ,3.84
9239997,21 ,5.21
9240047,25 ,6.85
9240097,28 ,6.85
9240167,40 ,12.06
9240217,40 ,15.62
9240267,40 ,18.63
9240317,35 ,18.63
9240367,27 ,18.63
9240434,19 ,12.61
9240484,1 ,9.32
9240534,0 ,4.93
9240584,0 ,2.47
9240649,0 ,2.19
9240699,1 ,2.19
9240749,4 ,1.92
9240799,8 ,1.92
9240865,12 ,2.19
9240915,15 ,2.74
9240965,19 ,3.84
9241015,23 ,5.48
9241078,27 ,9.04
9241128,38 ,10.69
9241178,40 ,12.33
9241228,40 ,17.54
9241279,40 ,18.63
9241345,33 ,18.63
9241395,25 ,16.17
9241446,17 ,12.33
9241496,0 ,8.77
9241564,0 ,2.47
9241614,0 ,2.47
9241664,0 ,2.19
9241733,3 ,1.92
